File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminEdit.php,250,222,214,6,16,0,12,49,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminEditLesson.php,37,28,26,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminEditTest.php,63,54,52,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminGetMaxID.php,18,9,7,0,5,0,4,4,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminList.php,48,38,33,2,5,0,5,8,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminLogin.php,45,27,19,3,10,0,8,27,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminResetContors.php,18,9,7,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\adminStatistics.php,81,50,48,0,16,0,15,39,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\animationChange.php,24,15,11,1,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\animationCheck.php,20,11,7,1,5,0,4,4,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\animationUse.php,9,6,4,0,2,0,1,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\backgroundChange.php,24,15,11,1,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\backgroundList.php,20,11,7,1,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\backgroundUse.php,9,6,4,0,2,0,1,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\connect.php,14,7,5,0,4,0,3,10,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\lesson.php,119,102,92,6,9,0,8,14,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\like.php,16,7,5,0,5,0,4,5,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\materials.php,71,56,48,4,8,0,7,16,0,0
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\php\test.php,141,116,103,9,13,0,12,21,0,0
